sq_mt_built,buy_price
122.0,159000
41.0,142000
158.0,680000
282.0,720000
343.0,2900000
52.0,140000
108.0,450000
115.0,630000
94.0,490000
181.0,1150000
62.0,157000
40.0,125000
65.0,110000
130.0,585000
60.0,172000
105.0,179999
68.0,485000
86.0,495000
95.0,305000
52.0,129000
54.0,158000
66.0,124700
40.0,335000
120.0,350000
318.0,2800000
232.0,1600000
400.0,2300000
58.0,130000
50.0,86000
78.0,299000
26.0,170000
145.0,1133964
70.0,189000
728.0,2290000
120.0,490000
60.0,115000
72.0,172000
111.0,560000
179.0,750000
142.0,1475000
54.0,207000
136.0,540000
220.0,885000
55.0,179000
81.0,161200
592.0,2200000
181.0,597000
139.0,554140
67.0,335000
103.0,235000
142.0,690000
114.0,200000
397.0,2650000
758.0,1400000
472.0,1495000
90.0,640000
231.0,649000
55.0,120000
244.0,1480000
72.0,169000
63.0,220000
115.0,255000
66.0,369000
182.0,840000
66.0,165000
189.0,2250000
58.0,125000
380.0,1750000
130.0,699000
113.0,440000
150.0,890000
90.0,496000
140.0,535000
165.0,410000
63.0,101700
70.0,130000
182.0,825000
392.0,2290000
165.0,680000
55.0,114000
73.0,275000
89.0,430000
480.0,1500000
120.0,345000
65.0,118000
200.0,890000
96.0,226000
106.0,740000
159.0,650000
80.0,281000
326.0,1800000
87.0,370000
140.0,750000
52.0,151900
58.0,132000
50.0,125000
280.0,1560000
95.0,255000
67.0,253000
400.0,2700000
